invoice_number,partner_id,billing_period,vat_0,DTS_fees,total_cost,third_party,total_invoice
5400732425,1606956220,2025-10-01 - 2025-10-31,0.0,0.0,6.54,0.0,6.54
5400740387,1254931,2025-10-01 - 2025-10-31,0.0,4.39,221.19,0.0,225.57999999999998
5400744966,1254931,2025-10-01 - 2025-10-31,0.0,0.0,80.6,0.0,80.6
5400745110,1254931,2025-10-01 to 2025-10-31,0.0,21.66,1085.72,0.0,1107.38
5400746198,1254931,2025-10-01 to 2025-10-31,0.0,24.67,1236.05,78.22,1338.94
5400746255,1254931,2025-10-01,0.0,17.31,869.58,0.0,886.89
5400746672,1254931,2025-10-01 - 2025-10-31,0.0,0.0,16.37,0.0,16.37
5400747080,1254931,2025-10-01 - 2025-10-31,0.0,0.0,752.25,0.0,752.25
5400747752,836790704,2025-10-01 - 2025-10-31,0.0,4989.94,265041.29,0.0,270031.23
5400747896,1606956220,2025-10-01 - 2025-10-31,0.0,0.0,6.0,0.0,6.0
